Nome,Concession,Ano_Opera,Tensao,longitude,latitude,g_conf
SE Bateias,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1999,525/230/138,-49.53264158,-25.41165169,0.48
SE Bauru,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/138,-49.096008,-22.282776,0.91
SE Biguaçu,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2008,525/230/138,-48.733391,-27.485025,0.84
SE Blumenau,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,525/230/138,-49.079214,-26.782302,0.49
SE Boa Esperança,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230,-43.5639584,-6.72389015,0.84
SE Boa Vista,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69/13;8,-60.7172411,2.9420675,0.79
SE Bom Despacho 3,CEMIG - Companhia Energética de Minas Gerais,2004,500,-45.31068715,-19.79276048,0.59
SE Bom Jardim,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/138/88/13;8,-46.99019091,-23.15177538,0.71
SE Bom Jesus da Lapa II,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,2003,500/230,-43.34340604,-13.30980403,0.33
SE Bom Jesus II,SPEDRO - SAO PEDRO TRANSMISSORA DE ENERGIA S/A,2017,230/69,-44.31174264,-9.1035703,0.35
SE Bom Nome,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138/69,-38.62754114,-7.997264,0.79
SE Bongi,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69/13;8,-34.9281225,-8.06349474,0.75
SE Botucatu,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/138,-48.437622,-22.9505,0.05
SE Brasília Geral,FURNAS - Furnas Centrais Elétricas S.A.,1960,230/34;5,-47.95155162,-15.81254332,0.61
SE Brasília Leste,VSBTE - VALE DO SAO BARTOLOMEU TRANSMISSORA DE ENERGIA S.A.,2017,500,-47.70724246,-15.80962473,0.85
SE Brasilia Sul,FURNAS - Furnas Centrais Elétricas S.A.,1972,345/230/138,-48.06813669,-15.86248216,0.38
SE Brotas de Macaubas,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2012,230,-42.34318352,-12.30847823,0.26
SE Brumado II,AFLUENTE TRANSMISSÃO - Afluente Transmissão de Energia Elétrica SA,2002,230/138/69,-41.63583333,-14.21361111,0.68
SE Imbirussú,PORTO PRIMAVERA - Porto Primavera Transmissora de Energia S/A.,2006,230/138,-54.7520149,-20.54726587,0.34
SE Cabreuva,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/230/138/13;8,-47.11615813,-23.27746101,0.06
SE Cachoeira Dourada,CDSA - Centrais Elétricas Cachoeira Dourada S/A,1959,230/138,-49.48671463,-18.50273008,0.08
SE Cachoeira Paulista,FURNAS - Furnas Centrais Elétricas S.A.,1974,500/138,-45.03665837,-22.6298538,0.16
SE Caetés II,EOL SANTA BRIGIDA I - VENTOS DE SANTA BRIGIDA I ENERGIAS RENOVAVEIS S.A,2015,230/34;5,-36.76001044,-8.84376926,0.56
SE Camaçari II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230/69,-38.34495997,-12.61902491,0.8
SE Camaçari IV,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2012,500/230,-38.34355571,-12.61772171,0.03
SE Camaquã 1,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-51.81573231,-30.82792433,0.24
SE Camaquã 3,TSBE - Transmissora Sul Brasileira de Energia S A,2014,230/69,-51.80991742,-30.80930751,0.42
SE Campina Grande III,ETN - EXTREMOZ TRANSMISSORA DO NORDESTE,2015,500/230,-35.9801361,-7.25324093,0.54
SE Campina Grande II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138/69/13;8,-35.90877836,-7.26670434,0.81
SE Campinas,FURNAS - Furnas Centrais Elétricas S.A.,1971,500/345/138,-47.0048767,-22.77366239,0.12
SE Campo Bom,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/23,-51.06597425,-29.6939704,0.99
SE Campo do Assobio,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1998,230/138/13;8,-49.18303718,-25.66840559,0.51
SE Campo Grande 2,PANTANAL TRA - PANTANAL TRANSMISSAO S.A.,2016,230/138,-54.49092128,-20.442094,0.23
SE Campos,FURNAS - Furnas Centrais Elétricas S.A,1973,345/138,-41.337445,-21.71847014,0.44
SE Campo Mourão,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/138,-52.36761377,-24.07476567,0.89
SE Campos Novos,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,525/230/138,-51.4177012,-27.53928362,0.6
SE UHE Cana Brava,ENGIE - ENGIE BRASIL ENERGIA SA,2002,230/13;8,-48.140547,-13.399596,0.06
SE Canarana,STATE GRID - State Grid Brazil Holding Sa,2018,230/138,-52.29120698,-13.52447026,0.82
SE Presidente Médici,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,2005,230/138,-53.6812486,-31.55113228,0.78
SE Canoas 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,2002,230,-51.14391906,-29.87477914,0.28
SE Canoinhas,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/138,-50.40314097,-26.19641161,0.36
SE Capão Bonito,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/138/13;8,-48.343079,-23.986694,0.72
SE Capivara,DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema,1977,440/138/14;4,-51.36031304,-22.65765743,0.74
SE Carajás (PA),ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2006,230/138,-49.88848856,-5.980977,0.38
SE Carajás (GO),CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,2009,230/138,-49.35241994,-16.71982524,0.77
SE Cascavel,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1986,230/138/34;5/13;8,-53.456178,-24.995033,0.08
SE Cascavel Oeste,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,2001,525/230,-53.53319529,-25.02909701,0.06
SE Catu,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.36361327,-12.39752335,0.39
SE Cauípe,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.87081591,-3.6942585,0.86
SE Caxias,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2001,525/230,-51.2011614,-29.27703068,0.55
SE Caxias do Sul 5,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/13;8,-51.19154243,-29.13234567,0.63
SE Caxias do Sul 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-51.15726309,-29.14224551,0.11
SE Schincariol,-,-,230,-43.40849626,-4.87215061,0.43
SE CBA 2,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,2006,440/230,-47.29641348,-23.54082718,0.04
SE Ceará Mirim II,ETN - EXTREMOZ TRANSMISSORA DO NORDESTE,2014,500/230,-35.45214311,-5.67335594,0.33
SE Aimorés,CEMIG - Companhia Energética de Minas Gerais,2005,230,-41.02360371,-19.49999583,0.47
SE Centro - CTR,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/88/20,-46.648299,-23.5368,0.15
SE Centro - CTT,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230,-46.721444,-23.513014,0.25
SE Cerquilho III,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,2014,230/138,-47.77442602,-23.14004565,0.15
SE Chavantes,DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema,1970,230/88,-49.728717,-23.126007,0.49
SE Cícero Dantas,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.36720902,-10.59735137,0.06
SE Cidade Industrial,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/138/23,-51.17999268,-29.89129639,0.47
SE Cidade Industrial de Curitiba,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,2003,230/69/13;8,-49.33271847,-25.52586406,0.12
SE Cláudia,MATRINCHA - MATRINCHA TRANSMISSORA DE ENERGIA S A,2015,500,-55.33391193,-11.29019997,0.13
SE Codemin,-,-,230,-48.33782853,-14.15866315,0.79
SE Coelho Neto,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69,-42.98671356,-4.29813385,0.6
SE Chapadão,ITATIM - Linhas de Transmissão Itatim Ldta,2011,230/138,-52.38907909,-18.91137369,0.03
SE Coletora Porto Velho,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2011,500/230,-63.95852284,-8.91358909,0.27
SE Colinas,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,500,-48.45528975,-7.97009339,0.29
SE Conselheiro Lafaiete,CEMIG - Companhia Energética de Minas Gerais,1955,345/138,-43.82332091,-20.66320254,0.12
SE Conselheiro Pena,CEMIG - Companhia Energética de Minas Gerais,-,230/69/13;8,-41.48298275,-19.18044128,0.92
SE Coremas,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230,-37.95573527,-7.01617897,0.97
SE UHE Corumbá,FURNAS - Furnas Centrais Elétricas S.A.,1998,345/138,-48.54125238,-17.98674582,0.33
SE Corumbá 2,LTC - LINHA DE TRANSMISSÃO CORUMBÁ,2013,230/138,-57.61957908,-19.03851033,0.5
SE Coxipó,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138,-55.99776204,-15.62848878,0.55
SE Cuiabá,AETE - AMAZÔNIA - ELETRONORTE TRANSMISSORA DE ENERGIA S.A.,2005,500/230,-55.85390978,-15.68594173,0.63
SE Curitiba,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,525/230,-49.31812903,-25.59322657,0.97
SE Curitiba Leste,MARUMBI - MARUMBI TRANSMISSORA DE ENERGIA S.A,2015,525/230,-49.07982191,-25.57142372,0.45
SE Delmiro Gouveia,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.51535335,-3.78736473,0.2
SE Desterro,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2008,230/138,-48.51397835,-27.6702722,0.08
SE Distrito Industrial de São José dos Pinhais,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230/69/13;8,-49.12808169,-25.52959436,0.21
SE Dona Francisca,DFESA - Dona Francisca Energética S.A.,2001,230/13;8,-53.28979492,-29.45098877,0.34
SE Dourados,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/138,-54.99194986,-22.26873127,0.47
SE Edgard de Souza,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/88,-46.907799,-23.45319,0
SE Eldorado do Sul,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/23,-51.31855315,-30.01457495,0.77
SE Eliseu Martins,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2006,230/69,-43.670279,-8.098532,0.32
SE Emborcação,CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A,1982,500/138,-47.986511,-18.457275,0.5
SE Embu-Guaçu,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/345/138/16/13;8,-46.79983169,-23.8446636,0.2
SE Encruzo Novo,ENCRUZO NOVO - ENCRUZO NOVO TRANSMISSORA DE ENRGIA LTDA,2012,230/69,-45.85481618,-2.2181597,0.5
SE UHE Luiz Carlos Barreto de Carvalho (Estreito),FURNAS - Furnas Centrais Elétricas S.A.,1970,345/13;8,-47.28466965,-20.15497695,0.65
SE Estreito,LTT - LT Triângulo S.A.,2008,500/345,-47.17519772,-20.2604548,0.48
SE Eunápolis,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138,-39.55001697,-16.33875296,0.83
SE Extremoz II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2014,230/69,-35.30406637,-5.73817631,0.83
SE Farroupilha,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/69,-51.32444556,-29.22053729,0.16
SE Tomba,AFLUENTE TRANSMISSÃO - Afluente Transmissão de Energia Elétrica SA,-,230/69,-38.96793235,-12.28826091,0.16
SE Fernão Dias,MSGT - MATA DE SANTA GENEBRA TRANSMISSAO S.A.,2020,500/440,-46.51469192,-23.05792868,0.3
SE Fibraplac,FIBRAPLAC - Fibraplac Chapas de MDF Ltda,2003,230/13;8,-50.76690363,-29.89833743,0.48
SE Figueira,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230/138,-50.388431,-23.849377,0.27
SE Firminópolis,CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,1997,230/138,-50.32754954,-16.5918078,0.34
SE Forquilhinha,IES - INTERLIGAÇÃO ELÉTRICA SUL S.A,2011,230/69,-49.52359311,-28.75114146,0.7
SE Fortaleza II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230,-38.54352152,-3.83302535,0.66
SE Foz do Chapecó,FOZ CHAPECÓ - Foz do Chapecó Energia S.A.,2010,230/138,-53.05288712,-27.13948468,0.47
SE Foz do Chopim,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1998,230/138,-53.09613544,-25.52354672,0.16
SE Foz do Iguaçu,FURNAS - Furnas Centrais Elétricas S.A.,1984,765/600/500/127,-54.5394228,-25.46783597,0.45
SE Funil,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138,-39.46218989,-14.23271391,0.97
SE Poços de Caldas,FURNAS - Furnas Centrais Elétricas S.A.,1963,500/345/138,-46.61351698,-21.79913734,0.47
SE Garabi II,CIEN - Companhia de Interconexão Energética,2002,500,-55.67255053,-28.25329101,0.65
SE Garanhuns II,IEG - INTERLIGAÇÃO ELÉTRICA GARANHUNS,2015,500/230,-36.40340038,-8.88261359,0.6
SE Garibaldi 1,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-51.51223945,-29.23911515,0.46
SE Gentio do Ouro II,TJMME - TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.,2018,500/230,-42.66661918,-11.28014446,0.4
SE Gerdau SP,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,2005,440/33/13;8,-47.08499913,-23.43818616,0.19
SE Getulina,IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A,2011,440/138,-49.838263,-21.855551,0.25
SE Gilbués II,ATEXVI - ATE XVI TRANSMISSORA DE ENERGIA SA,2017,500/230/69,-45.34632674,-9.75302185,0.24
SE Governador Mangabeira,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-39.03398057,-12.60721385,0.45
SE Governador Valadares 2,CEMIG - Companhia Energética de Minas Gerais,1989,230/138/13;8,-41.98005788,-18.84958048,0.82
SE Grajaú,FURNAS - Furnas Centrais Elétricas S.A.,1987,500/138,-43.26471006,-22.92774229,0.18
SE Gralha Azul,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230,-49.35476443,-25.5868746,0.52
SE Gravataí 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/23,-51.06533348,-29.88384355,0.67
SE Gravataí 3,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2007,230/69,-50.96270752,-29.88769531,0.08
SE Guaiba 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-51.38140739,-30.13019146,0.6
SE Guaíra,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1984,230/138/34;5,-54.22606594,-24.10271025,0.4
SE Guamá,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69,-48.44559999,-1.45858697,0.7
SE Guarulhos,FURNAS - Furnas Centrais Elétricas S.A.,1963,345,-46.58539555,-23.44235809,0.96
SE Guilman-Amorim,GUILMAN/AMORI - Consórcio GUILMAN/AMORIM,1997,230/13;8,-42.9236135,-19.67501729,0.04
SE Gurupi,FURNAS - Furnas Centrais Elétricas S.A.,1999,500,-49.01182668,-11.73586458,0.67
SE Henry Borden,EMAE - Empresa Metropolitana de Águas e Energia S.A,1956,230/13;8,-46.450684,-23.877686,0.99
SE Ibicoara,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,2003,500/230/138,-41.373901,-13.438904,0.12
SE Ibiporã,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230/138/34;5,-51.07697604,-23.29175565,0.68
SE Ibiúna,FURNAS - Furnas Centrais Elétricas S.A.,1984,600/500/345/20,-47.104748,-23.667023,0.31
SE Icó,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.881373,-6.409152,0.16
SE Igaporã III,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2015,500/230,-42.6126938,-13.98421936,0.78
SE UHE Ilha Solteira,RPE - RIO PARANÁ ENERGIA,1973,440/138/14;4/13;8,-51.37037993,-20.38132593,0.01
SE Imperatriz,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,-,230/500,-47.44402696,-5.49254467,1
SE Integradora,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2008,230,-50.02190097,-6.43851664,0.75
SE Interlagos,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/230,-46.68141935,-23.71008661,0.41
SE Ipatinga 1,CEMIG - Companhia Energética de Minas Gerais,1971,230/13;8,-42.55767628,-19.43883997,0.51
SE Irapé,TRANSLESTE - COMPANHIA TRANSLESTE DE TRANSMISSÃO,2005,345/230,-42.57143828,-16.72978823,0.78
SE Irecê,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138/69/13;8,-41.80795987,-11.30877887,0.64
SE Itá,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,525,-52.40584444,-27.27305833,0.49
SE Itabaiana,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-37.4560817,-10.66218388,0.88
SE Itaberá,FURNAS - Furnas Centrais Elétricas S.A.,1982,750,-49.13202001,-23.95131071,0.55
SE Itabira 2,CEMIG - Companhia Energética de Minas Gerais,-,230/69/13;8,-43.19970266,-19.59522559,0.42
SE Itabira 4,CEMIG - Companhia Energética de Minas Gerais,2013,230,-43.28551224,-19.602629,0.43
SE Ouro Preto 2,CEMIG - Companhia Energética de Minas Gerais,1988,500/345/138,-43.758301,-20.297791,0.97
SE Itabirito 2,MONTES CLAROS - LINHAS DE TRANSMISSAO DE MONTES CLAROS LTDA,2014,500/345,-43.784726,-20.328156,0.16
SE Itacaiúnas,ATE III - ATE III TRANSMISSORA DE ENERGIA S.A.,2008,500/230,-49.14727671,-5.45626792,0.29
SE Itajaí,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2002,230/138,-48.78150492,-26.97316206,0.46
SE Itajubá 3,CEMIG - Companhia Energética de Minas Gerais,2002,500/138,-45.51578569,-22.46815018,0.89
SE Itapaci,CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,-,230/69,-49.52373375,-14.94428676,0.44
SE Itapeti,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/230/88/13;8,-46.17655686,-23.54732483,0.14
SE Itararé II,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/138,-49.31276398,-24.10246633,0.65
SE Itatiba,TRANSENERGIA SP - Transenergia São Paulo S.A.,2012,500/138,-46.90500307,-22.95702278,0.18
SE Itaúba,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,1978,230/13;8,-53.23378624,-29.26047691,0.45
SE Itiquira,ITIQUIRA - Itiquira Energética S/A,2002,230/13;8,-54.87486094,-17.07958671,0.65
SE UHE Itumbiara,FURNAS - Furnas Centrais Elétricas S.A.,1980,500/345/230,-49.1141363,-18.40721994,0.32
SE Itutinga,FURNAS - Furnas Centrais Elétricas S.A,1967,345,-44.62914427,-21.29615293,0.42
SE Ivaiporã,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,525,-51.67742708,-24.43101707,0.58
SE Ivaiporã,FURNAS - Furnas Centrais Elétricas S.A.,1982,750,-51.67408781,-24.4205869,0.81
SE Ivinhema 2,BRILHANTE - Brilhante Transmissora de Energia Ltda,2011,230/138,-53.57488709,-22.41790537,0.36
SE Jacaracanga,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.48269123,-12.69696083,0.26
SE Jacarepaguá,FURNAS - Furnas Centrais Elétricas S.A.,1967,345/138,-43.42125895,-22.92410224,0.52
SE Jaguará,CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A,-,500/345,-47.43826803,-20.01284936,0.41
SE Jaguariaíva,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1993,230/138/69/34;5,-49.69457105,-24.23384154,0.84
SE Janaúba 3,MANTIQUEIRA TRANSMIS - MANTIQUEIRA TRANSMISSORA DE ENERGIA S.A.,2020,500/230,-43.32577268,-15.92344517,0.89
SE Jandira,IESJ - Interligação Elétrica Serra do Japi S.A.,2012,440/88,-46.906601,-23.563037,0.45
SE Jardim,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230/69,-37.15034521,-10.8827808,0.94
