Nome,Concession,Ano_Opera,Tensao,longitude,latitude,g_conf
SE Jaru,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69,-62.45444186,-10.42327359,0.28
SE Jataí,TRANSENER RENOVAVEL - Transenergia Renovável S.A.,2012,230/138,-52.09103102,-17.78605461,0.78
SE Jauru,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2003,500/230/138,-58.83109693,-15.38133648,0.03
SE Jeceaba,CEMIG - Companhia Energética de Minas Gerais,2010,345/33,-43.97012114,-20.58341461,0.08
SE Ji-Paraná,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138/69,-61.8944101,-10.86211644,0.79
SE João Camara II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2014,230,-35.87485436,-5.30244556,0.88
SE João Camara III,ETN - EXTREMOZ TRANSMISSORA DO NORDESTE,2014,500,-35.8861998,-5.38031869,0.29
SE Joinville Norte,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2009,230/138,-48.90116618,-26.25183066,0.62
SE Joinville,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/138/69,-48.8875742,-26.29152065,0.97
SE Jorge Lacerda A,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,1965,230/138/69,-48.96993076,-28.45103525,0.84
SE Jorge Lacerda B,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,1979,230,-48.97056823,-28.45604273,0.12
SE Jorge Teixeira,AMAZONAS GT - AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA SA,2014,230/138/13;8,-59.89630127,-3.02069092,0.46
SE Juazeiro II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-40.47660697,-9.48105512,0.81
SE Juazeiro III,ODOYA - ODOYA TRANSMISSORA DE ENERGIA S A,2016,500/230,-40.51936608,-9.48667469,0.88
SE Juiz de Fora 1,CEMIG - Companhia Energética de Minas Gerais,1966,345/138/13;8,-43.40277268,-21.7111134,0.55
SE Jupiá,RPE - RIO PARANÁ ENERGIA,1969,440/138,-51.633058,-20.783105,0.46
SE Jurumirim,DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema,1962,230/138,-49.2303084,-23.20856086,0.78
SE Jurupari,XINGU TRA - LINHAS DE XINGU TRANSMISSORA DE ENERGIA SA,2013,500/230,-52.7659,-1.5524,0.54
SE Lages,STC - STC - Sistema de Transmissão Catarinense S.A.,2007,230/138,-50.33740375,-27.75630147,0.54
SE Lagoa Vermelha 2,ETAU - EMPRESA DE TRANSMISSÃO DO ALTO DO URUGUAI S/A,2005,230/138,-51.52300672,-28.18543726,0.4
SE Lajeado,INVESTCO - Investco S.A,2001,500/230,-48.366868,-9.747198,0.11
SE Lajeado Grande,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2003,230/138,-50.55684314,-28.99062877,0.3
SE Lajeado 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/13;8,-51.98447215,-29.46531939,0.6
SE Laranjal,MACAPA TRA - LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA SA,2014,230/69,-52.48226008,-0.81196887,0.22
SE Lechuga,MANAUS TR - MANAUS TRANSMISSORA DE ENERGIA S.A,2013,500/230/138,-60.01462762,-2.92023876,0.04
SE Livramento 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-55.54278564,-30.86218262,0.63
SE Londrina (ESUL),ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,525/230,-51.14103089,-23.46318446,0.6
SE Lucas do Rio Verde,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2012,230/138/13;8,-55.93013189,-13.01051913,0.53
SE Luiz Gonzaga,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,1988,500,-38.3051399,-9.14464673,0.05
SE Luziânia,SMTE - Serra da Mesa Transmissora de Energia S/A.,2008,500/138,-47.83192545,-16.34908633,0.41
SE Macaé Merchant,FURNAS - Furnas Centrais Elétricas S.A.,2001,345/138,-41.87297084,-22.30534993,0.67
SE Macapá,MACAPA TRA - LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA SA,2014,230/69,-51.12166667,0.09833333,0.6
SE Maçambará,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-56.06652832,-29.15118408,0.41
SE Macéio II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2019,230/69,-35.75023216,-9.52876608,0.48
SE Machadinho,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2001,500,-51.78964472,-27.52739494,0
SE Manaus,AMAZONAS GT - AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA SA,-,230/69,-59.99139404,-3.08148193,0.58
SE Marabá,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,500/230/69,-49.02405749,-5.1991066,0.63
SE Marechal Rondon,MRTE - MARECHAL RONDON TRANSMISSORA DE ENERGIA SA,2016,440/138,-51.63876991,-20.79630312,0.61
SE UHE Marimbondo,FURNAS - Furnas Centrais Elétricas S.A.,1975,500/345,-49.203491,-20.301208,0.93
SE Marimbondo 2,GTE - Guaraciaba Transmissora de Energia S A,2016,500,-49.22214429,-20.25366976,0.38
SE Maringá,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1984,230/138/34;5,-51.98715075,-23.44835399,0.06
SE Marituba,MARITUBA - MARITUBA TRANSMISSÃO DE ENERGIA S A,2020,500/230/69,-48.3623045,-1.41081796,0.03
SE Marmeleiro 2,TSLE - TRANSMISSORA SUL LITORÂNEA DE ENERGIA S.A.,2014,525,-52.99058867,-33.13970621,0.02
SE Mascarenhas,EVRECY - EVRECY PARTICIPAÇÕES LTDA,2006,230/138,-40.91866832,-19.50326076,0.86
SE Marechal Mascarenhas de Morais (Peixoto),FURNAS - Furnas Centrais Elétricas S.A.,1956,345/138,-47.06944722,-20.28619167,0.83
SE Matatu,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.483027,-12.97754422,0.71
SE Mesquita,CEMIG - Companhia Energética de Minas Gerais,-,500/230,-42.54793831,-19.4167229,0.75
SE Messias,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230,-35.84227026,-9.40220245,0.33
SE Miguel Reale,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/88/20,-46.62527966,-23.56245204,0.84
SE Milagres,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230/69,-38.93740634,-7.30701822,0.18
SE Milton Fornasaro,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/88,-46.75195278,-23.52819444,0.59
SE Miracema,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,500/138,-48.52067209,-9.54154584,0.85
SE Miranda II,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,500/230/138/69,-44.53500234,-3.56616574,0.03
SE Mirassol II,IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A,2011,440/138,-49.50216156,-20.86702287,0.25
SE Mirueira,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-34.89127586,-7.95504627,0.72
SE Mirueira II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2016,230/69,-34.89181718,-7.95611108,0.47
SE Mogi,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/88,-46.181981,-23.548427,0.71
SE Mogi das Cruzes,FURNAS - Furnas Centrais Elétricas S.A.,1964,345/230,-46.16960562,-23.50368296,0.41
SE Mogi Mirim 3,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/138,-47.06559364,-22.41989674,0.24
SE Monte Claro,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2004,230,-51.53556713,-29.01318048,0.96
SE Montes Claros 2,CEMIG - Companhia Energética de Minas Gerais,1973,345/138,-43.82480159,-16.67025681,0.74
SE Morro Agudo,CPFL TRA MORRO AGUDO - CPFL TRANSMISSÃO MORRO AGUDO SA,2017,500/138,-48.15562587,-20.8651,0.49
SE Morro do Chapéu II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2017,500/230,-41.3967886,-11.71392078,0.43
SE Mossoró II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-37.35009432,-5.14948604,0.46
SE Mussuré II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-34.89384289,-7.18166778,0.39
SE N.S. do Socorro,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2019,230/69,-37.14641926,-10.87531417,0.57
SE Narandiba,SE NARANDIBA - SE NARANDIBA S.A.,2011,230/69,-38.44505705,-12.95394385,0.26
SE Natal II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-35.23965833,-5.808925,0.11
SE Neves 1,CEMIG - Companhia Energética de Minas Gerais,1979,500/345/138/13;8,-44.10351562,-19.82348633,0.92
SE Nilo Peçanha,LIGHT GT - LIGHT ENERGIA S.A,1953,230/138,-43.86391818,-22.69079544,0.14
SE Niquelândia,FURNAS - Furnas Centrais Elétricas S.A.,1999,230/69,-48.48985563,-14.47261983,0.06
SE Nobres,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2001,230/138,-56.29717073,-14.7251351,0.28
SE Nordeste,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/88,-46.38129032,-23.45421595,0.92
SE Norte,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/88,-46.558311,-23.483141,0.62
SE Nova Era 2,CEMIG - Companhia Energética de Minas Gerais,-,230,-43.04707616,-19.70394314,0.98
SE Nova Iguaçu,LTTE - Linhas de Taubaté Transmissora de Energia,2017,500/345/138,-43.53933647,-22.75358373,0.1
SE Nova Mutum,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69,-56.07606179,-13.82825108,0.87
SE Nova Ponte,CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A,1988,500,-47.700091,-19.134348,0.93
SE Nova Porto Primavera,PORTO PRIMAVERA - Porto Primavera Transmissora de Energia S/A.,2006,440/230,-52.96498536,-22.48783798,0.79
SE Nova Prata 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-51.61324676,-28.80686381,0.03
SE Nova Santa Rita,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2006,525/230,-51.33536914,-29.82313659,0.21
SE Oeste,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/88,-47.41220688,-23.44724098,0.28
SE Olindina,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230,-38.38412132,-11.31801237,0.99
SE Onça Puma,OURILANDIA - OURILANDIA DO NORTE TRANSMISSORA DE ENERGIA S.A.,-,230/138,-51.09179724,-6.57675094,0.79
SE Oriximiná,MACAPA TRA - LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA SA,2013,500/230/138/15;5,-55.7239006,-1.58292015,0.76
SE Padre Fialho,MONTES CLAROS - LINHAS DE TRANSMISSAO DE MONTES CLAROS LTDA,2013,345/138/20,-42.35791657,-20.35402005,0.87
SE Palhoça (ELETROSUL),ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/138,-48.69118056,-27.64137778,0.24
SE Palmas,MIRACEMA - MIRACEMA TRANSMISSORA DE ENERGIA ELETRICA S/A,2019,230/138,-48.29459923,-10.17708677,0.99
SE Palmeiras,CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,1996,230/69,-49.94090445,-16.78428686,0.28
SE Paracatu 4,SMTE - Serra da Mesa Transmissora de Energia S/A.,2008,500/138,-47.11292426,-17.06935954,0.07
SE Paraguaçu Paulista 2,-,2015,230/88,-50.59194823,-22.43651865,0.01
SE Paraíso (RN),CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2004,230/138,-36.00458056,-6.23656389,0.17
SE Paranaíba,CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,-,230/69,-49.21027207,-18.37177542,0.51
SE Paranaíta,MATRINCHA - MATRINCHA TRANSMISSORA DE ENERGIA S A,2015,500/138,-56.84234384,-9.35355263,0.69
SE Paranatinga,MATRINCHA - MATRINCHA TRANSMISSORA DE ENERGIA S A,2016,500/230,-54.43054358,-14.15834596,0.52
SE Parigot Souza,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1996,230/138,-48.76196247,-25.25297911,0.11
SE Passo Fundo,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,1973,230/138,-52.71880884,-27.48392212,0.66
SE Passo Real,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,1973,230/138,-53.19061279,-29.01818848,0.92
SE Pato Branco,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1989,230/138/34;5,-52.67247388,-26.21027902,0.35
SE Pau Ferro,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230/69,-35.02067535,-7.85925158,0.84
SE Paulo Afonso III,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230,-38.19609348,-9.40152737,0.55
SE Paulo Afonso IV,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230,-38.19962741,-9.41320076,0.82
SE Peixe 2,INTESA - INTEGRAÇAO TRANSMISSORA DE ENERGIA S.A,2008,500,-48.55161278,-12.16303508,0.03
SE Pelotas 3,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/138/13;8,-52.40763277,-31.72621658,0.15
SE Penedo,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-36.56239882,-10.24285087,0.69
SE Pici II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2005,230/69,-38.58320119,-3.74447407,0.05
SE Picos,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-41.41404984,-7.11032472,0.39
SE Pilarzinho,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230/69/13;8,-49.27547841,-25.37171449,0.09
SE Pimenta,CEMIG - Companhia Energética de Minas Gerais,-,345/138,-45.79341248,-20.46825867,0.91
SE Pimenta Bueno,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2008,230/138,-61.13632388,-11.60686244,0.99
SE Pinhalzinho 2,FOTE - FRONTEIRA OESTE TRANSMISSORA DE ENERGIA SA,2018,230/138,-53.02409346,-26.8229932,0.44
SE Piraju,CBA - Companhia Brasileira de Aluminio,2002,230,-49.378338,-23.15428,0.68
SE Pirapama II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-35.02774549,-8.27081339,0.63
SE Pirapora 2,SPTE - Serra Paracatu Transmissora de Energia S/A.,2009,500/345/138,-44.869995,-17.339478,0.88
SE Piratininga,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/88,-46.677405,-23.698736,0.8
SE Piratininga 2,IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A,2011,345/88,-46.68274717,-23.70564618,0.84
SE Pirineus,FURNAS - Furnas Centrais Elétricas S.A.,2006,230,-48.86619581,-16.38518127,0.27
SE Piripiri,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138/69/13;8,-41.75477903,-4.28502109,0.59
SE Pirituba,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/88,-46.70939434,-23.5009728,0.22
SE Vitória,FURNAS - Furnas Centrais Elétricas S.A.,1977,345/138,-40.29334475,-20.19342639,0.56
SE Pituaçu,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.42055664,-12.93713412,0.34
SE Planalto,CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,-,230/69,-49.23137525,-17.81327866,0.54
SE Poções II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2019,500/230,-40.37681449,-14.51740116,0.97
SE Pólo Petroquímico,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/34;5,-51.38928575,-29.86973185,0.75
SE Ponta Grossa Sul,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230/138/34;5,-50.09952511,-25.17543796,0.23
SE Ponta Grossa Norte,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230/138/34;5,-50.14035278,-25.04460278,0.72
SE Ponte de Pedra,ENGIE - ENGIE BRASIL ENERGIA SA,2005,230/13;8,-54.90837073,-17.58834335,0.08
SE Porto Alegre 1,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/69,-51.17111111,-30.01666667,0.3
SE Porto Alegre 8,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,2008,230/69,-51.14181946,-30.00875278,0.69
SE Porto Alegre 4,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/13;8,-51.22821038,-30.04681315,0.05
SE Porto Alegre 9,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/13;8,-51.1960398,-29.97109178,0.6
SE Porto Alegre 6,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/13;8,-51.14263889,-30.06461111,0.01
SE Porto Alegre 10,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/13;8,-51.19646245,-30.04707744,0.48
SE Jardim Botânico,TESB - TRANSMISSORA DE ENERGIA SUL BRASIL,2019,230/69,-51.17232331,-30.04234639,0.46
SE UHE Porto Colômbia,FURNAS - Furnas Centrais Elétricas S.A.,1973,345/138,-48.57483901,-20.12114472,0.96
SE Porto Estrela,PORTO ESTRELA - Consorcio AHE Porto Estrela,2001,230/13;8,-42.66704106,-19.12009044,0.24
SE Porto Franco,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138/69,-47.37686918,-6.34746722,0.49
SE Porto Velho,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69,-63.81803761,-8.79735459,0.94
SE Posto Fiscal,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,2007,230/138/13;8,-48.56418973,-25.55298656,0
SE Povo Novo,TSLE - TRANSMISSORA SUL LITORÂNEA DE ENERGIA S.A.,2014,525/230,-52.341142,-31.92911,0.66
SE Presidente Dutra,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,500/230/69/13;8,-44.48127255,-5.26890327,0.61
SE Quinta,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/138/69/13;8,-52.26827918,-32.0768003,0.66
SE Quixadá,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2003,500,-38.92905097,-4.95331864,0.07
SE Ramom Reberte Filho,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/88,-46.52356111,-23.57940833,0.13
SE Realeza Sul,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,2017,230/138,-53.51695964,-25.78244227,0.24
SE Recife II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230/13;8,-35.03570735,-8.11500632,0.06
SE Ribeirão,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-35.39690892,-8.46933291,0.49
SE Ribeirãozinho,ITE - Itumbiara Transmissora de Energia S/A.,2006,500/230,-52.63814007,-16.4740215,0.3
SE Ribeirão Preto,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,500/440/138,-47.68800247,-21.20204831,0.83
SE Ribeiro Gonçalves,ATE II - ATE II TRANSMISSORA DE ENERGIA S.A,2006,500/230/69,-45.20592045,-7.63258377,0.6
SE Rio Branco I,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138/69/13;8,-67.73002442,-10.01078559,0.37
SE Rio das Éguas,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,2003,500,-46.17528791,-13.85421972,0.15
SE Rio Largo II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-35.83836696,-9.50355685,0.46
SE Rio Novo do Sul,ETC CAPIXABA - ETC - EMPRESA TRANSMISSORA CAPIXABA S.A.,2019,500/345/138,-40.88187777,-20.85752321,0.35
SE Rio Verde Norte,ITE - Itumbiara Transmissora de Energia S/A.,2006,500,-50.86269637,-17.72277673,0.86
SE Rondonópolis,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138/13;8,-54.59928039,-16.47043351,0.73
SE Rurópolis,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138,-54.8970217,-4.0741809,0.29
SE Russas II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-37.99557299,-4.94910417,0.55
SE Salto,IESJ - Interligação Elétrica Serra do Japi S.A.,2012,440/88,-47.240628,-23.178925,0.34
SE Salto Grande,DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema,1958,230/88,-49.99884487,-22.90533747,0.75
SE Salto Osório,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/69,-53.01281816,-25.53980555,0.23
SE Salto Santiago,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,1980,525,-52.62237222,-25.63012778,0.88
SE Samuel,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230,-63.46015511,-8.7529122,0.54
SE Santa Bárbara d´Oeste,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/138/13;8,-47.41816462,-22.72590804,0.23
SE Santa Cabeça,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/88,-44.92934116,-22.65566815,0.56
SE Santa Cruz 1,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/13;8,-52.41749041,-29.75071474,0.25
SE Santa Maria,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138/69,-47.569521,-1.3423,0.58
SE Santa Maria 3,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/138/69,-53.87580954,-29.68119258,0.82
SE Santa Marta,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/138/69/44/13;8,-52.43033539,-28.28422025,0.41
SE Santa Mônica,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,2007,230/69,-49.14416609,-25.36373735,0.5
SE Santa Rita II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2012,230/69,-35.009201,-7.156305,0.7
SE Santa Rosa 1,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-54.45766792,-27.87711315,1
SE Santana do Araguaia,ENERGISA PARÁ - ENERGISA PARÁ TRANSMISSORA DE ENERGIA I SA,2020,230/138,-50.39150714,-9.32654238,0.13
SE Santo Angelo,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/345/138,-46.253906,-23.586121,0.83
SE Santo Angelo 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-54.285773,-28.303457,0.37
SE Santo Antônio de Jesus,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-39.2206271,-12.97277826,0.62
SE São Borja 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/23,-55.99625585,-28.69036367,0.68
SE São Gonçalo do Pará,CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A,1998,500/138,-44.84088634,-20.07318459,0.42
SE São Gotardo 2,CEMIG - Companhia Energética de Minas Gerais,-,500/345/138,-46.01456146,-19.33750522,0.38
SE São João do Piauí,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230,-42.22900407,-8.35814509,0.24
SE São José,FURNAS - Furnas Centrais Elétricas S.A.,1993,500/138,-43.33228157,-22.74863135,0.74
SE São José dos Campos,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/88,-45.88962307,-23.201825,0.2
SE São Luis II,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,500/230/18;3,-44.31669729,-2.71668236,0.33
SE São Mateus do Sul,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230/34;5,-50.40201576,-25.85341727,0.98
SE São Simão,CEMIG - Companhia Energética de Minas Gerais,-,500,-50.491821,-19.022095,0.94
SE São Vicente do Sul,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-54.6971603,-29.69521568,0.94
SE Sapeaçu,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,2003,500/230,-39.18545167,-12.71716086,0.8
SE Sarandi,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,2006,230/138,-51.82683486,-23.44338671,0.47
SE Scharlau,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/138/69/23,-51.14872902,-29.71747199,0.46
SE Senhor do Bonfim II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138/69,-40.188,-10.444,0.19
SE UHE Serra da Mesa,FURNAS - Furnas Centrais Elétricas S.A.,1998,500/230/138,-48.30045957,-13.82690829,0.75
SE Serra da Mesa 2,INTESA - INTEGRAÇAO TRANSMISSORA DE ENERGIA S.A,2008,500,-48.046387,-13.765503,0.05
SE Sete Lagoas 4,SETE LAGOAS - SETE LAGOAS TRANSMISSORA DE ENERGIA LTDA,2014,345/138,-44.32477411,-19.51766877,0.29
SE Siderópolis,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/69,-49.41119385,-28.60229492,0.54
SE Sidrolândia 2,BRILHANTE - Brilhante Transmissora de Energia Ltda,2010,230/138,-54.92593926,-20.89489774,0.92
SE Silves,MANAUS TR - MANAUS TRANSMISSORA DE ENERGIA S.A,2013,500/138/20,-58.2751023,-2.70885148,0.53
SE Sobradinho,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,1979,500/230,-40.82781937,-9.43620761,0.98
SE Sobral II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-40.3821959,-3.69990151,0.33
SE Sobral III,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230,-40.2985991,-3.69142208,0.49
SE Sorriso,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69,-55.76318814,-12.57505558,0.63
SE Suape II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2012,500/230,-35.04695838,-8.39017163,0.3
SE Samambaia,FURNAS - Furnas Centrais Elétricas S.A.,1998,500/345/138,-48.17255086,-15.9250873,0.05
SE Sul,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/88,-46.52100683,-23.69937923,0.3
SE Sumaré,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/138/13;8,-47.28673417,-22.8669339,0.8
SE Taguaruçu,DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema,1992,440/138,-52.00091246,-22.53862913,0.63
SE Tapajós 2,EQUATORIAL 8 - EQUATORIAL TRANSMISSORA DE ENERGIA 8 SPE,2020,230/138,-54.67563041,-2.61660788,0.74
SE Tapera 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,2005,230/69,-52.8645198,-28.66697564,0.54
SE Taquara,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/138/13;8,-50.79482661,-29.65589484,0.46
SE Taquaril,CEMIG - Companhia Energética de Minas Gerais,1976,345/230/138,-43.85208228,-19.93126393,0.77
SE Tauá II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2007,230/69,-40.27534988,-6.00145856,0.19
SE Taubaté,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,500/440/230/138,-45.58638776,-23.0632245,0.38
